POS,PLAYER,TEAM,M,I,WKTS,R,BBI,AVG,ECON,SR,4W,5W
89,S P Kumar,HCA,7,7,7,139,3,19.85,7.25,16.42,0,0
90,M S Bhandage,KSCA,7,7,7,151,3,21.57,7.55,17.14,0,0
91,Yudhvir Singh,JKCA,7,7,7,177,2,25.28,7.22,21.00,0,0
92,Rm Bishnoi,GUCA,7,7,7,183,3,26.14,6.53,24.00,0,0
93,Pvsn Raju,ACA,7,7,7,188,2,26.85,8.23,19.57,0,0
94,Venkatesh Iyer,MPCA,10,9,7,168,2,24.00,8.84,16.28,0,0
95,Shahbaz,CAB,9,9,7,213,2,30.42,7.60,24.00,0,0
96,Tripurana Vijay,ACA,3,3,6,46,4,7.66,3.83,12.00,1,0
97,Gajendra Singh,BICA,3,3,6,87,4,14.50,7.90,11.00,1,0
98,Tempol,ARCA,6,3,6,88,3,14.66,8.00,11.00,0,0
99,Pradeep K Pradhan,OCA,3,3,6,94,4,15.66,10.25,9.16,1,0
100,Nagaho,NCA,3,3,6,108,2,18.00,12.00,9.00,0,0
