POS,PLAYER,TEAM,M,I,R,NO,HS,AVG,BF,SR,100,50,4S,6S
73,Smaran R,KSCA,6,6,170,1,57,34.00,100,170.00,0,1,13,12
74,Salman Nizar,KCA,6,6,169,3,99*,56.33,103,164.07,0,1,11,10
75,Qamran Iqbal,JKCA,7,7,168,1,61,28.00,113,148.67,0,1,14,11
76,Ashwin Hebbar,ACA,7,7,168,-,52,24.00,117,143.58,0,1,19,10
77,Ashutosh Sharma,RSPB,6,5,164,3,59*,82.00,98,167.34,0,2,10,13
78,Ankit Kumar,HCA,7,7,164,-,59,23.43,131,125.19,0,1,23,1
79,Hemang Patel,GUCA,7,4,163,2,57*,81.50,92,177.17,0,2,14,10
80,Ishan,JSCA,6,6,161,1,77*,32.20,96,167.70,0,1,18,12
81,Arslan Z Khan,UTCA,4,4,159,1,107*,53.00,85,187.05,1,1,16,11
82,Tanmay Agarwal,HYCA,6,6,158,-,55,26.33,107,147.66,0,1,14,9
83,Gaurav Choudhary,OCA,6,5,154,1,74,38.50,89,173.03,0,1,9,12
84,Darshan Misal,GOACA,6,5,153,-,91,30.60,86,177.90,0,1,14,9
85,Shivam Dube,MCA,5,5,151,3,71*,75.50,84,179.76,0,1,8,11
86,Vishnu Solanki,BCA,9,8,151,4,50,37.75,93,162.36,0,1,10,9
87,Gajjar  Sammar,SCA,8,8,151,1,55*,21.57,114,132.45,0,1,15,6
88,M K Lomror,RCA,7,6,146,2,51*,36.50,103,141.74,0,1,6,10
89,M J Dagar,HPCA,7,5,146,1,65,36.50,108,135.18,0,1,16,4
90,P K Dogra,JKCA,6,5,146,1,63*,36.50,126,115.87,0,1,15,6
91,Shubham Khajuria,JKCA,7,6,146,1,85*,29.20,106,137.73,0,1,17,4
92,Pankaj Kumar,JSCA,7,6,145,2,56,36.25,95,152.63,0,1,11,9
93,Kuwar Pathak,SSCB,6,6,141,-,63,23.50,87,162.06,0,1,15,7
94,A V Wankhade,VCA,7,5,139,2,72,46.33,79,175.94,0,2,5,12
95,Jay Gohil,SCA,8,8,139,3,53,27.80,72,193.05,0,1,10,12
96,Abdul Samad,JKCA,7,6,139,1,74*,27.80,92,151.08,0,1,11,8
97,Chetan Bist,NCA,6,6,139,-,63,23.17,115,120.86,0,1,12,6
98,Mandeep Singh,TCA,7,7,138,3,66*,34.50,103,133.98,0,2,10,3
99,Anukul Roy,JSCA,7,5,137,-,91,27.40,83,165.06,0,1,12,9
100,Pardeep Yadav,UTCA,7,6,137,1,64,27.40,86,159.30,0,1,9,9
