POS,PLAYER,TEAM,M,I,R,NO,HS,AVG,BF,SR,100,50,4S,6S
85,Mayank Gusain,DDCA,4,3,197,1,117*,98.50,207,95.16,1,1,12,7
86,Gauresh Bharat Kambli,GOACA,6,6,196,-,68,32.67,200,98.00,0,1,29,4
87,Subham Singh,CAB,4,4,191,1,74,63.67,318,60.06,0,2,16,0
88,Krish Bhagat,PCA,9,8,191,4,81*,47.75,176,108.52,0,1,9,8
89,Abhishek Thakur,HPCA,5,5,191,1,69*,47.75,189,101.05,0,1,11,10
90,Sai Hariram K,CAP,7,7,191,1,79*,31.83,234,81.62,0,1,13,10
91,Rituraj Sharma,UPCA,4,4,190,-,168,47.50,146,130.13,1,0,16,11
92,Yuvraj Singh,RCA,3,3,187,1,98*,93.50,186,100.53,0,2,14,10
93,Ayush Ameriya,RCA,5,4,186,1,106,62.00,252,73.80,1,1,16,5
94,Ashutosh Patel,GUCA,6,6,186,-,80,31.00,205,90.73,0,1,23,2
95,Shivam D,VCA,6,6,185,-,57,30.83,205,90.24,0,1,25,4
96,Aniket Verma,MPCA,7,7,184,3,101*,46.00,121,152.06,1,0,12,16
97,Ankush,BICA,6,6,184,1,102*,36.80,93,197.84,1,0,22,14
98,Kounain Quraishi,JSCA,6,4,183,1,82*,61.00,173,105.78,0,2,18,8
99,K Krithik Reddy,HYCA,5,5,183,1,68*,45.75,255,71.76,0,1,23,0
100,Bishal Roy,ASCA,6,6,183,1,71,36.60,214,85.51,0,1,19,5
